"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2013","1,069.31","1,071.77","1,077.11","1,064.85","2.58B","0.09%"
"04/08/2013","1,068.32","1,074.70","1,077.53","1,062.12","2.63B","-0.64%"
"04/05/2013","1,075.17","1,077.41","1,081.73","1,071.37","2.81B","0.04%"
"04/04/2013","1,074.75","1,086.93","1,087.03","1,074.75","3.47B","-1.40%"
"04/03/2013","1,089.97","1,087.27","1,090.73","1,080.74","4.99B","0.64%"
"04/02/2013","1,083.07","1,080.77","1,085.87","1,079.88","5.69B","0.40%"
"04/01/2013","1,078.74","1,077.75","1,083.74","1,075.92","3.44B","-0.26%"
"03/28/2013","1,081.60","1,077.09","1,081.60","1,071.40","2.54B","0.24%"
"03/27/2013","1,078.98","1,062.40","1,078.98","1,062.23","3.85B","1.88%"
"03/26/2013","1,059.08","1,048.70","1,064.35","1,047.31","2.97B","1.08%"
"03/25/2013","1,047.78","1,042.36","1,050.16","1,041.15","2.91B","1.37%"
"03/22/2013","1,033.59","1,054.11","1,057.70","1,033.59","4.03B","-2.04%"
"03/21/2013","1,055.08","1,064.72","1,069.52","1,051.07","4.95B","-0.85%"
"03/20/2013","1,064.09","1,065.41","1,067.00","1,057.07","4.38B","0.21%"
"03/19/2013","1,061.89","1,061.17","1,067.67","1,060.39","3.31B","0.40%"
"03/18/2013","1,057.62","1,058.29","1,061.95","1,052.60","2.88B","-0.25%"
"03/15/2013","1,060.28","1,057.73","1,070.69","1,057.73","4.05B","0.70%"
"03/14/2013","1,052.95","1,064.56","1,064.56","1,046.64","3.71B","-1.22%"
"03/13/2013","1,065.99","1,070.34","1,074.89","1,060.97","3.08B","-0.50%"
"03/11/2013","1,071.32","1,077.82","1,080.35","1,069.54","2.44B","-0.57%"
"03/08/2013","1,077.41","1,073.81","1,086.31","1,073.56","3.46B","0.48%"
"03/07/2013","1,072.22","1,067.31","1,072.90","1,065.41","4.01B","0.42%"
"03/06/2013","1,067.71","1,054.37","1,070.62","1,053.76","5.07B","1.75%"
"03/05/2013","1,049.32","1,053.20","1,056.85","1,048.40","3.46B","-0.28%"
